Человек-Амфибия | Александр Беляев
Шагреневая кожа. Обедня безбожника | Оноре де Бальзак
Гобсек | Оноре де Бальзак
Дети капитана Гранта | Жюль Верн
Сойчине крило | Іван Франко
Vita Nostra | Марина и Сергей Дьяченко
Гарри Поттер и дары смерти | Джоан Роулинг
Морской волк | Джек Лондон
Хазяїн | Іван Карпенко-Карий
Кайдашева сім’я | Іван Нечуй-Левицький
Планка | Евгений Гришковец 
Сантехник, его кот, жена и другие подробности | Слава Сэ
Маленький принц | Экзюпери
Алхимик | Пауло Коэльо
Google. Прорыв в духе времени | Дэвид Вайз
Желтая стрела | Виктор Пелевин
Інститутка | Марко Вовчок
Generation "П" | Виктор Пелевин
Омон Ра | Виктор Пелевин
Одиночество в сети | Януш Вишневски
