Мина Мазайло | Микола Куліш
The Shadow of the Wind | Carlos Ruiz Zafón
Тигролови | Іван Багряний
Два капитана | Вениамин Каверин
Трое в лодке, не считая собаки | Джером К. Джером
Острие бритвы | Сомерсет Моэм
Можно попросить Нину? | Кир Булычев
Джакомо Джойс | Джеймс Джойс
Девять рассказов | Селинджер
Марсианские хроники | Рэй Брэдбери
Амстердам | Иэн Макьюэн
Дом, в котором... | Мариам Петросян
Послемрак | Харуки Мураками
Я (Романтика). Вибрані твори | Микола Хвильовий
Голубая книга | Михаил Зощенко
Обмен | Юрий Трифонов
Дождь. Рассказы | Сомерсет Моэм
Кафка на пляже | Харуки Мураками
Повелитель мух | Уильям Голдинг
Луна и грош | Сомерсет Моэм
Бесчестье | Кутзее
Зелёная миля | Стивен Кинг
Степные боги | Андрей Геласимов
Вино из одуванчиков / Лето, прощай / Канун всех святых | Рэй Брэдбери
Чайка Джонатан Ливингстон | Ричард Бах
Голодные игры | Сьюзан Коллинз
Рай где-то рядом | Фэнни Флэг
Великий Гэтсби | Фрэнсис Фитцджеральд
Летнее утро, летняя ночь | Рэй Брэдбери
Лучшее средство от северного ветра | Дэниел Глаттауер
Місто | Валер`ян Підмогильний
Этюд в багровых тонах | Артур Конан Дойл
Жизнь коротка | Сергей Довлатов
Норвежский лес | Харуки Мураками
451° по Фаренгейту | Рэй Брэдбери
Старик и море | Эрнест Хемингуэй
Зона | Сергей Довлатов
Филиал | Сергей Довлатов
Ремесло | Сергей Довлатов
Три Мушкетёра | Александр Дюма
Лена Сквоттер и парагон возмездия | Леонид Каганов
Хочу быть сильным | Сергей Довлатов
Превращение | Франц Кафка
Гранатовый браслет | Александр Куприн
Таинственный остров | Жюль Верн
Агент Х, или Конец игры | Роберт Шекли
По дорозі в Казку | Олександр Олесь
Алеф | Хорхе Луис Борхес
Наши | Сергей Довлатов
Над пропастью во ржи | Селинджер
Иностранка | Сергей Довлатов
Река | Татьяна Толстая 
Чемодан | Сергей Довлатов
Цветы для Элджернона | Дэниел Киз
Джейн Эйр | Шарлотта Бронте
Камінний хрест | Василь Стефаник
Земля | Ольга Кобилянська
Людина | Ольга Кобилянська
Ночной дозор | Сергей Лукьяненко
Герой нашего времени | Михаил Лермонтов
Дневной дозор | Сергей Лукьяненко
Возвращение | Эрих Мария Ремарк
Мастер и Маргарита | Михаил Булгаков
