Перші | Марія Олекса
Не озирайся і мовчи | Макс Кідрук
Швеція. Модель для збірки: вілла, "вольво", песик | Юлія Юрчук
Невеличка драма | Валерʼян Підмогильний
Що мій син має знати про світ | Фредрік Бакман
Земля крилатих | Ірина Грабовська
Пиво і чорнило. Як жили київські студенти 19 – початку 20 ст. | Тарас Самчук
Зірки й кістки | Ірина Грабовська
Доця | Тамара Горіха Зерня
Пляжне чтиво | Емілі Генрі
Пиши. Легкий шлях від ідеї до книжки | Таіс Золотковська
НепрОсті | Тарас Прохасько
Ворошиловград | Сергій Жадан
Не бійся спитати. 10 кроків до вдалих переговорів | Александра Картер
Інститутка. Оповідання | Марко Вовчок
Завтра, завтра, завтра | Ґабріель Зевін
Три лини для Марії | Сергій Осока
Недуга | Євген Плужник
М'яке місто | Девід Сім
Драбина | Євгенія Кузнєцова
Бот. Ґуаякільський парадокс | Макс Кідрук
Дівчина з ведмедиком. Доктор Серафікус | В. Домонтович
Інтернат | Сергій Жадан
Неймовірна історія сексу, Том 1: Захід | Філіп Брено, Летісія Корен
Остання імперія | Брендон Сандерсон
Бот. Атакамська криза | Макс Кідрук
1984 | Джордж Орвелл
Записки Кирпатого Мефістофеля | Володимир Винниченко
Гаррі Поттер і в’язень Азкабану | Джоан К. Роулінг
Нові Темні Віки. Колонія | Макс Кідрук
Танці з кістками | Андрій Сем’янків
Дюна | Френк Герберт
Гаррі Поттер і таємна кімната | Джоан К. Роулінг
Там, де співають раки | Делія Овенс
Гаррі Поттер і філософський камінь | Джоан К. Роулінг
Я бачу, вас цікавить пітьма | Ілларіон Павлюк
